graph_name,acc,time
data_563_features_corr_graph_subgraph1.gpickle,0.9247506799637353,0.7617408000000978
data_563_features_corr_graph_subgraph10.gpickle,0.9528558476881233,0.7788862000002155
data_563_features_corr_graph_subgraph100.gpickle,0.9374433363553943,1.3713548000000628
data_563_features_corr_graph_subgraph11.gpickle,0.8912058023572076,0.7456071999999949
data_563_features_corr_graph_subgraph12.gpickle,0.9392565729827742,0.7848238000001402
data_563_features_corr_graph_subgraph13.gpickle,0.9338168631006346,0.7856259000000136
data_563_features_corr_graph_subgraph14.gpickle,0.8757932910244787,0.8874661999998352
data_563_features_corr_graph_subgraph15.gpickle,0.9356300997280145,0.7501096000000871
data_563_features_corr_graph_subgraph16.gpickle,0.9256572982774252,0.7336841999999706
data_563_features_corr_graph_subgraph17.gpickle,0.9102447869446962,0.828581000000213
data_563_features_corr_graph_subgraph18.gpickle,0.8757932910244787,1.005080999999791
data_563_features_corr_graph_subgraph19.gpickle,0.9437896645512239,0.7572150999999394
data_563_features_corr_graph_subgraph2.gpickle,0.9193109700815957,0.7362118999999439
data_563_features_corr_graph_subgraph20.gpickle,0.9392565729827742,0.8129546000000119
data_563_features_corr_graph_subgraph21.gpickle,0.928377153218495,0.8575457000001734
data_563_features_corr_graph_subgraph22.gpickle,0.9374433363553943,0.9426456000001053
data_563_features_corr_graph_subgraph23.gpickle,0.9374433363553943,0.7883719999999812
data_563_features_corr_graph_subgraph24.gpickle,0.9437896645512239,0.9290621000000101
data_563_features_corr_graph_subgraph25.gpickle,0.9510426110607434,0.7876108000000386
data_563_features_corr_graph_subgraph26.gpickle,0.9374433363553943,0.8624684999999772
data_563_features_corr_graph_subgraph27.gpickle,0.9338168631006346,0.9729459999998653
data_563_features_corr_graph_subgraph28.gpickle,0.929283771532185,0.8202928999999131
data_563_features_corr_graph_subgraph29.gpickle,0.8893925657298277,1.0206544000002395
data_563_features_corr_graph_subgraph3.gpickle,0.9383499546690843,0.6993422999998984
data_563_features_corr_graph_subgraph30.gpickle,0.9437896645512239,0.8867771000000175
data_563_features_corr_graph_subgraph31.gpickle,0.9356300997280145,0.9706737999999859
data_563_features_corr_graph_subgraph32.gpickle,0.9301903898458749,0.99181389999967
data_563_features_corr_graph_subgraph33.gpickle,0.9446962828649139,0.7616064000003462
data_563_features_corr_graph_subgraph34.gpickle,0.9347234814143246,0.8351017999998476
data_563_features_corr_graph_subgraph35.gpickle,0.9410698096101541,0.8537089999999807
data_563_features_corr_graph_subgraph36.gpickle,0.8467815049864007,1.0422968000002584
data_563_features_corr_graph_subgraph37.gpickle,0.9437896645512239,0.8750652999997328
data_563_features_corr_graph_subgraph38.gpickle,0.9446962828649139,0.7938917000001311
data_563_features_corr_graph_subgraph39.gpickle,0.9410698096101541,1.0864473000001453
data_563_features_corr_graph_subgraph4.gpickle,0.9401631912964642,0.7318975999996837
data_563_features_corr_graph_subgraph40.gpickle,0.9075249320036265,0.9612264000002142
data_563_features_corr_graph_subgraph41.gpickle,0.9392565729827742,0.9369647999997142
data_563_features_corr_graph_subgraph42.gpickle,0.957388939256573,0.9443203999999241
data_563_features_corr_graph_subgraph43.gpickle,0.8893925657298277,1.1986707000000933
data_563_features_corr_graph_subgraph44.gpickle,0.9492293744333635,1.1448281999996652
data_563_features_corr_graph_subgraph45.gpickle,0.9410698096101541,1.0127806000000419
data_563_features_corr_graph_subgraph46.gpickle,0.9410698096101541,1.0201474000000417
data_563_features_corr_graph_subgraph47.gpickle,0.9465095194922938,1.0463701999997284
data_563_features_corr_graph_subgraph48.gpickle,0.9184043517679057,1.0793150999998034
data_563_features_corr_graph_subgraph49.gpickle,0.9446962828649139,1.2141793999999209
data_563_features_corr_graph_subgraph5.gpickle,0.9510426110607434,0.8174997999999505
data_563_features_corr_graph_subgraph50.gpickle,0.9528558476881233,1.0391299000002618
data_563_features_corr_graph_subgraph51.gpickle,0.9474161378059837,1.0803003999999419
data_563_features_corr_graph_subgraph52.gpickle,0.9537624660018132,0.9418099999998049
data_563_features_corr_graph_subgraph53.gpickle,0.8041704442429737,1.4961661999996068
data_563_features_corr_graph_subgraph54.gpickle,0.9510426110607434,0.9155115999997179
data_563_features_corr_graph_subgraph55.gpickle,0.9437896645512239,1.072846899999604
data_563_features_corr_graph_subgraph56.gpickle,0.9492293744333635,1.1154007999998612
data_563_features_corr_graph_subgraph57.gpickle,0.9456029011786038,1.1749668000002202
data_563_features_corr_graph_subgraph58.gpickle,0.9057116953762466,1.076290699999845
data_563_features_corr_graph_subgraph59.gpickle,0.9338168631006346,1.056493799999771
data_563_features_corr_graph_subgraph6.gpickle,0.9084315503173164,0.7298743999999715
data_563_features_corr_graph_subgraph60.gpickle,0.9446962828649139,0.919194300000072
data_563_features_corr_graph_subgraph61.gpickle,0.9392565729827742,1.0420114999997168
data_563_features_corr_graph_subgraph62.gpickle,0.85675430643699,1.3197697000000517
data_563_features_corr_graph_subgraph63.gpickle,0.9437896645512239,1.567895000000135
data_563_features_corr_graph_subgraph64.gpickle,0.9410698096101541,1.1651780000001963
data_563_features_corr_graph_subgraph65.gpickle,0.9510426110607434,1.107646900000418
data_563_features_corr_graph_subgraph66.gpickle,0.9401631912964642,0.9969821999998203
data_563_features_corr_graph_subgraph67.gpickle,0.9437896645512239,1.1673750999998447
data_563_features_corr_graph_subgraph68.gpickle,0.9483227561196736,1.146304599999894
data_563_features_corr_graph_subgraph69.gpickle,0.9102447869446962,1.2526348000001235
data_563_features_corr_graph_subgraph7.gpickle,0.9265639165911151,0.911845699999958
