graph_name,acc,time,macro-avg-f1-score
data_754_features_corr_graph_subgraph163.gpickle,-0.000271919,-0.014130356,71
data_754_features_corr_graph_subgraph164.gpickle,-0.009854004,-0.02739147,72
data_754_features_corr_graph_subgraph165.gpickle,0.002188515,-0.025067363,73
data_754_features_corr_graph_subgraph166.gpickle,-0.007873219,-0.013940962,74
data_754_features_corr_graph_subgraph167.gpickle,-0.010361365,-0.021795996,75
data_754_features_corr_graph_subgraph168.gpickle,-0.004175828,0.001262865,76
data_754_features_corr_graph_subgraph169.gpickle,-0.011049738,-0.039985083,77
data_754_features_corr_graph_subgraph17.gpickle,-0.09386198,-0.21115005,78
data_754_features_corr_graph_subgraph170.gpickle,0.017293856,0.057112154,79
data_754_features_corr_graph_subgraph171.gpickle,0.021375077,0.04764033,80
data_754_features_corr_graph_subgraph172.gpickle,-0.02495349,-0.06461757,81
data_754_features_corr_graph_subgraph173.gpickle,-0.03177115,-0.070135556,82
data_754_features_corr_graph_subgraph174.gpickle,-0.029607592,-0.059018724,83
data_754_features_corr_graph_subgraph175.gpickle,-0.014996917,-0.05530718,84
data_754_features_corr_graph_subgraph176.gpickle,-0.012231091,-0.019969573,85
data_754_features_corr_graph_subgraph177.gpickle,-0.01735617,-0.030668782,86
data_754_features_corr_graph_subgraph178.gpickle,0.002757254,0.004690926,87
data_754_features_corr_graph_subgraph179.gpickle,-0.014540566,-0.024348961,88
data_754_features_corr_graph_subgraph18.gpickle,-0.13292062,-0.13747247,89
data_754_features_corr_graph_subgraph180.gpickle,0.03508918,0.045145057,90
data_754_features_corr_graph_subgraph181.gpickle,-0.013769531,-0.029366879,91
data_754_features_corr_graph_subgraph182.gpickle,0.02329886,0.03471853,92
data_754_features_corr_graph_subgraph183.gpickle,-0.026383415,-0.028507963,93
data_754_features_corr_graph_subgraph184.gpickle,-0.004175452,-0.002592197,94
data_754_features_corr_graph_subgraph185.gpickle,-0.030366888,-0.03942417,95
data_754_features_corr_graph_subgraph186.gpickle,-0.016958015,-0.05096368,96
data_754_features_corr_graph_subgraph187.gpickle,0.004989026,0.04450598,97
data_754_features_corr_graph_subgraph188.gpickle,0.002420505,0.000876279,98
data_754_features_corr_graph_subgraph189.gpickle,-0.033689458,-0.09992084,99
data_754_features_corr_graph_subgraph19.gpickle,-0.039330993,-0.023928052,100
data_754_features_corr_graph_subgraph190.gpickle,-0.016803369,-0.072041854,101
data_754_features_corr_graph_subgraph191.gpickle,-0.026832338,-0.029521905,102
data_754_features_corr_graph_subgraph192.gpickle,-0.027504617,-0.023240356,103
data_754_features_corr_graph_subgraph193.gpickle,-0.005964365,0.011401041,104
data_754_features_corr_graph_subgraph194.gpickle,-0.014464224,-0.032786902,105
data_754_features_corr_graph_subgraph195.gpickle,-0.005019632,-0.030637601,106
data_754_features_corr_graph_subgraph196.gpickle,-0.010721558,-0.029576115,107
data_754_features_corr_graph_subgraph197.gpickle,0.023603173,0.028432839,108
data_754_features_corr_graph_subgraph198.gpickle,-0.004544896,-0.004130015,109
data_754_features_corr_graph_subgraph199.gpickle,0.007215674,-0.002654472,110
data_754_features_corr_graph_subgraph2.gpickle,-0.011420309,-0.03615529,111
data_754_features_corr_graph_subgraph20.gpickle,-0.003769455,-0.016573723,112
data_754_features_corr_graph_subgraph200.gpickle,-0.12519081,-0.15289883,113
data_754_features_corr_graph_subgraph201.gpickle,0.003997926,-0.005216879,114
data_754_features_corr_graph_subgraph202.gpickle,-0.013610614,-0.036099102,115
data_754_features_corr_graph_subgraph203.gpickle,-0.017337212,-0.033283178,116
data_754_features_corr_graph_subgraph204.gpickle,-0.04134335,-0.06886668,117
data_754_features_corr_graph_subgraph205.gpickle,-0.000899026,-0.012348677,118
data_754_features_corr_graph_subgraph206.gpickle,0.044528406,0.070144475,119
data_754_features_corr_graph_subgraph207.gpickle,-0.004946384,-0.013182022,120
data_754_features_corr_graph_subgraph208.gpickle,-0.07394671,-0.16511734,121
data_754_features_corr_graph_subgraph209.gpickle,-0.024901478,-0.056994315,122
data_754_features_corr_graph_subgraph21.gpickle,-0.007712801,-0.031182619,123
data_754_features_corr_graph_subgraph210.gpickle,-0.009916808,-0.03198197,124
data_754_features_corr_graph_subgraph211.gpickle,-0.005677673,-0.028802041,125
data_754_features_corr_graph_subgraph212.gpickle,-0.009947942,-0.00138515,126
data_754_features_corr_graph_subgraph213.gpickle,-0.004256446,0.020181416,127
data_754_features_corr_graph_subgraph214.gpickle,-0.000659012,-0.033386838,128
data_754_features_corr_graph_subgraph215.gpickle,-0.013048907,-0.03224025,129
data_754_features_corr_graph_subgraph216.gpickle,0.039566644,0.06365747,130
data_754_features_corr_graph_subgraph217.gpickle,-0.0316942,-0.06234844,131
data_754_features_corr_graph_subgraph218.gpickle,-0.04982269,-0.14458503,132
data_754_features_corr_graph_subgraph219.gpickle,0.011320459,0.02251298,133
data_754_features_corr_graph_subgraph22.gpickle,-0.028028669,-0.053614255,134
data_754_features_corr_graph_subgraph220.gpickle,-0.001180088,-0.018222203,135
data_754_features_corr_graph_subgraph221.gpickle,-0.005045377,-0.007339365,136
data_754_features_corr_graph_subgraph222.gpickle,-0.008791112,-0.022513535,137
data_754_features_corr_graph_subgraph223.gpickle,-0.029032292,-0.076113656,138
data_754_features_corr_graph_subgraph224.gpickle,0.006352712,0.03711205,139
data_754_features_corr_graph_subgraph225.gpickle,-0.012214121,-0.038213566,140
data_754_features_corr_graph_subgraph226.gpickle,-0.010322484,-0.026893442,141
data_754_features_corr_graph_subgraph227.gpickle,-0.000283393,0.043329693,142
data_754_features_corr_graph_subgraph228.gpickle,-0.004968789,-0.02057343,143
data_754_features_corr_graph_subgraph229.gpickle,0.000677454,0.001608462,144
data_754_features_corr_graph_subgraph23.gpickle,0.010873171,0.018026924,145
data_754_features_corr_graph_subgraph230.gpickle,-0.020228893,-0.04273651,146
data_754_features_corr_graph_subgraph231.gpickle,-0.014402768,-0.000717091,147
data_754_features_corr_graph_subgraph232.gpickle,0.002398651,-0.000356818,148
data_754_features_corr_graph_subgraph233.gpickle,-0.004941026,0.007337349,149
data_754_features_corr_graph_subgraph234.gpickle,-0.030286286,0.021702502,150
data_754_features_corr_graph_subgraph235.gpickle,-0.011816989,-0.026788123,151
data_754_features_corr_graph_subgraph236.gpickle,-0.009568683,-0.030495465,152
data_754_features_corr_graph_subgraph237.gpickle,-0.007973918,-0.018625539,153
data_754_features_corr_graph_subgraph238.gpickle,-0.010255077,-0.030206826,154
data_754_features_corr_graph_subgraph239.gpickle,-0.010670084,-0.019448236,155
